#REGION#HEADER#
Generatedtime
1770632942
#REGION#ECONOMY#
Name,X,Y,Z,Faction,FreePort,Beneficiary
ECO-NPC Space Base,-83076340.00,448069.00,-108935400.00,ECO-NPC,False,nobody
FCTM Space Base,63194870.00,-4819502.00,58229550.00,FCTM,False,nobody
GLF-NPC Space Facility,-109030200.00,-14049530.00,76887980.00,GLF-NPC,False,nobody
SPRT Spaceport,104500100.00,-18839740.00,8053858.00,SPRT,False,nobody
Moonlet Space Hub 1,53004210.00,-2735028.00,-50660640.00,GLF-NPC,False,nobody
Moonlet Space Platform 1,-40574680.00,57269.43,80095250.00,ECO-NPC,False,nobody
Moonlet Space Base 1,103381900.00,-8135960.00,-43367880.00,GLF-NPC,False,nobody
Moonlet Space Hub 1,-73375210.00,12659200.00,-106493600.00,GLF-NPC,False,nobody
Moonlet Platform 2,-73364260.00,12688390.00,-106476700.00,GLF-NPC,False,nobody
Moonlet Spaceport 1,62814340.00,-9168199.00,57909120.00,ECO-NPC,False,nobody
Moonlet Space Station 1,98127120.00,-9812956.00,561147.40,GLF-NPC,False,nobody
Moonlet Space Outpost 2,98129800.00,-9842929.00,582041.50,GLF-NPC,False,nobody
Moonlet Space Installation 1,71104000.00,-3432339.00,-73527670.00,GLF-NPC,False,nobody
Moonlet Space Station 1,-23902610.00,7210887.00,-95665590.00,GLF-NPC,False,nobody
Moonlet Trade Port 2,-23910330.00,7196319.00,-95694260.00,GLF-NPC,False,nobody
Moonlet Space Outpost 1,-53602470.00,9077115.00,-74348620.00,GLF-NPC,False,nobody
Moonlet Space Station 1,144899600.00,-13849060.00,-12632760.00,ECO-NPC,False,nobody
Moonlet Space Platform 1,-76776510.00,3768751.00,78577460.00,ECO-NPC,False,nobody
Moonlet Space Complex 1,22926700.00,1624958.00,-78446740.00,GLF-NPC,False,nobody
Moonlet Station 2,22926950.00,1637537.00,-78457050.00,GLF-NPC,False,nobody
Moonlet Space Complex 1,85741320.00,-7125206.00,-28859860.00,GLF-NPC,False,nobody
Moonlet Space Hub 2,85718990.00,-7126757.00,-28860290.00,GLF-NPC,False,nobody
Moonlet Space Hub 1,95474630.00,-6151050.00,-67370260.00,GLF-NPC,False,nobody
Moonlet Space Outpost 1,32646510.00,-9169835.00,118211000.00,GLF-NPC,False,nobody
Moonlet Space Platform 1,47708570.00,-8608650.00,76771600.00,GLF-NPC,False,nobody
Moonlet Space Depot 2,47720570.00,-8590540.00,76771240.00,GLF-NPC,False,nobody
#REGION#TERRITORY#
Name,X,Y,Z,Radius,Faction
Moonlet,71098022.30,-3423240.89,-73519235.88,250000,GLF-NPC
Moonlet,-23916294.06,7195752.90,-95682062.92,250000,GLF-NPC
Moonlet,62814384.14,-9156346.88,57898576.32,250000,ECO-NPC
Moonlet,95459238.76,-6156669.25,-67384685.52,250000,GLF-NPC
Moonlet,-40581701.30,64030.92,80094775.27,250000,ECO-NPC
Moonlet,47700190.44,-8589636.32,76792752.55,250000,GLF-NPC
Moonlet,144903917.42,-13839341.63,-12620595.21,250000,ECO-NPC
Moonlet,32640872.94,-9164127.03,118212785.66,250000,GLF-NPC
Moonlet,53009775.46,-2747046.75,-50678208.86,250000,GLF-NPC
Moonlet,103387072.81,-8149580.17,-43382135.31,250000,GLF-NPC
Moonlet,22935916.51,1649443.76,-78460301.15,250000,GLF-NPC
Moonlet,-76757635.23,3767379.17,78568094.14,250000,ECO-NPC
Moonlet,85728688.50,-7110945.65,-28838057.07,250000,GLF-NPC
Moonlet,98112696.17,-9820466.53,584345.32,250000,GLF-NPC
Moonlet,-53596504.76,9087848.40,-74351967.44,250000,GLF-NPC
Moonlet,-73362964.74,12680679.73,-106487258.04,250000,GLF-NPC
ECO-NPC Space Base,-83076336.00,448069.00,-108935376.00,250000,ECO-NPC
FCTM Space Base,63194872.00,-4819502.00,58229552.00,250000,FCTM
GLF-NPC Space Facility,-109030152.00,-14049529.00,76887984.00,250000,GLF-NPC
SPRT Spaceport,104500128.00,-18839740.00,8053858.00,250000,SPRT
Moonlet Space Hub 1,53004212.00,-2735027.50,-50660644.00,250000,
Moonlet Space Platform 1,-40574684.00,57269.43,80095248.00,250000,
Moonlet Space Base 1,103381912.00,-8135960.00,-43367876.00,250000,
Moonlet Space Hub 1,-73375208.00,12659201.00,-106493584.00,250000,
Moonlet Platform 2,-73364264.00,12688387.00,-106476688.00,250000,
Moonlet Spaceport 1,62814344.00,-9168199.00,57909120.00,250000,
Moonlet Space Station 1,98127120.00,-9812956.00,561147.38,250000,
Moonlet Space Outpost 2,98129800.00,-9842929.00,582041.50,250000,
Moonlet Space Installation 1,71104000.00,-3432338.75,-73527672.00,250000,
Moonlet Space Station 1,-23902612.00,7210887.00,-95665592.00,250000,
Moonlet Trade Port 2,-23910326.00,7196318.50,-95694264.00,250000,
Moonlet Space Outpost 1,-53602468.00,9077115.00,-74348624.00,250000,
Moonlet Space Station 1,144899552.00,-13849056.00,-12632756.00,250000,
Moonlet Space Platform 1,-76776512.00,3768750.50,78577464.00,250000,
Moonlet Space Complex 1,22926698.00,1624958.25,-78446744.00,250000,
Moonlet Station 2,22926948.00,1637537.13,-78457048.00,250000,
Moonlet Space Complex 1,85741320.00,-7125206.00,-28859862.00,250000,
Moonlet Space Hub 2,85718992.00,-7126756.50,-28860290.00,250000,
Moonlet Space Hub 1,95474632.00,-6151050.00,-67370256.00,250000,
Moonlet Space Outpost 1,32646512.00,-9169835.00,118211032.00,250000,
Moonlet Space Platform 1,47708572.00,-8608650.00,76771600.00,250000,
Moonlet Space Depot 2,47720572.00,-8590540.00,76771240.00,250000,
#REGION#FACTIONS#
FactionTag,Economy,Military,Friendly,Neutral,Enemy,Color
ECO-NPC,101,10000,,,ECO-NPC/SPRT/GLF-NPC/FCTM/Danger,0.00 -0.80 -0.45
SPRT,102,10000,GLF-NPC,,ECO-NPC/SPRT/FCTM/Danger,0.00 -0.80 -0.45
GLF-NPC,101,10000,SPRT,,ECO-NPC/GLF-NPC/FCTM/Danger,0.00 -0.80 -0.45
FCTM,101,10000,,,ECO-NPC/SPRT/GLF-NPC/FCTM/Danger,0.00 -0.80 -0.45
#REGION#PLANETS#
EntityId,Planet,Owner,Control,SpaceSiege,PlanetSiege
-6867809433423417836,Moonlet,GLF-NPC,100,True,True
-3706498348359949180,Moonlet,GLF-NPC,100,True,True
4111922261962160278,Moonlet,GLF-NPC,100,True,True
-3162232058538230097,Moonlet,ECO-NPC,100,True,True
-4988778591372963440,Moonlet,GLF-NPC,100,True,True
2765773094208422425,Moonlet,ECO-NPC,100,True,True
5545219415669746229,Moonlet,GLF-NPC,100,True,True
-7974964598473808684,Moonlet,ECO-NPC,100,True,True
6395532171649174314,Moonlet,GLF-NPC,100,True,True
-5397245954775982703,Moonlet,GLF-NPC,100,True,True
4928880285289760819,Moonlet,ECO-NPC,100,True,True
5326702460653360504,Moonlet,GLF-NPC,100,True,True
8310813454052639014,Moonlet,GLF-NPC,100,True,True
3725280167858534169,Moonlet,GLF-NPC,100,True,True
-2329959026057879795,Moonlet,GLF-NPC,100,True,True
2784367927330526386,Moonlet,GLF-NPC,100,True,True
